Product(s),Product Info & Synergies,Business Outcomes,KPIs Affected,Return on Investment,Level of Orchestration
Speech and Text Analytics,"Compliance monitoring, Transcription & sentiment analysis, Agent coaching","Improved customer insights, Regulatory compliance, Better agent performance","CSAT, Average Handle Time (AHT), First Call Resolution (FCR)","Improves customer satisfaction, Reduces compliance risk, Enhances agent efficiency",Level 2 - AI-Assisted Human Agents
Genesys Predictive Engagement,"Proactive engagement, Behavior-based targeting, Journey optimization","Higher conversion rates, Personalized experiences, Improved customer engagement","Cart Abandonment Rate, Conversion Rate, Customer Lifetime Value (CLV)","Increases sales, Optimizes marketing spend, Reduces abandonment",Level 3 - Hybrid AI & Human Collaboration
Automation,"RPA integration, Task automation, Workflow orchestration","Faster service delivery, Higher process efficiency, Reduced operational costs","Average Handle Time (AHT), Process Accuracy, Operational Costs","Speeds up processes, Eliminates manual work, Reduces errors",Level 4 - AI-Led Interactions with Human Oversight
Bots and Virtual Agents,"Conversational AI, 24/7 customer support, Self-service automation","Reduced wait times, Consistent responses, Scalability","Customer Effort Score, Operational Efficiency, Self-Service Containment Rate","Higher customer satisfaction, Better resource allocation, Lower support costs",Level 5 - Fully Autonomous AI with Empathy
Knowledge,"Omnichannel accessibility, Centralized knowledge base, AI-powered recommendations","Consistent information, Faster resolution, Improved self-service","Self-Service Adoption Rate, Agent Productivity, First Contact Resolution (FCR)","Reduces agent dependency, Improves customer experience, Increases efficiency",Level 3 - Hybrid AI & Human Collaboration
Genesys Predictive Routing,"Personalized agent matching, AI-driven routing, Predictive analytics","Higher resolution rates, Optimized workforce, Better customer-agent fit","Agent Performance, Customer Satisfaction (CSAT), First Call Resolution (FCR)","Optimizes agent skills, Enhances customer interactions, Improves efficiency",Level 4 - AI-Led Interactions with Human Oversight
Genesys Agent Copilot,"Real-time AI assistance, Live coaching, Suggested responses","Improved agent performance, Faster resolution, Better customer interactions","Average Handle Time (AHT), Agent Productivity, Customer Satisfaction (CSAT)","Enhances decision-making, Reduces training costs, Speeds up onboarding",Level 3 - Hybrid AI & Human Collaboration
Topics,"Customer sentiment tracking, Trend identification, AI-powered topic analysis","Improved customer insights, Better issue detection, Proactive customer service","CSAT, Customer Retention Rate, Sentiment Score","Enhances proactive service, Optimizes engagement, Improves business intelligence",Level 2 - AI-Assisted Human Agents
Journey Management,"Cross-channel engagement, Journey optimization, End-to-end customer tracking","Personalized experiences, Higher engagement, Increased conversions","Conversion Rate, Net Promoter Score (NPS), Customer Retention","Optimizes engagement strategies, Improves customer loyalty, Increases revenue",Level 4 - AI-Led Interactions with Human Oversight
"Speech and Text Analytics, Genesys Predictive Engagement","Behavior-based targeting, Journey optimization, Agent coaching, Compliance monitoring, Transcription & sentiment analysis","Personalized experiences, Higher conversion rates, Improved customer insights, Better agent performance, Improved customer engagement","Conversion Rate, Customer Lifetime Value (CLV), Average Handle Time (AHT), CSAT, First Call Resolution (FCR)","Reduces compliance risk, Increases sales, Reduces abandonment, Enhances agent efficiency, Improves customer satisfaction","Level 2 - AI-Assisted Human Agents, Level 3 - Hybrid AI & Human Collaboration"
"Speech and Text Analytics, Automation","Agent coaching, Compliance monitoring, RPA integration, Task automation, Transcription & sentiment analysis","Faster service delivery, Reduced operational costs, Improved customer insights, Better agent performance, Regulatory compliance","Average Handle Time (AHT), Process Accuracy, Operational Costs, CSAT, First Call Resolution (FCR)","Reduces errors, Reduces compliance risk, Eliminates manual work, Enhances agent efficiency, Improves customer satisfaction","Level 4 - AI-Led Interactions with Human Oversight, Level 2 - AI-Assisted Human Agents"
"Speech and Text Analytics, Bots and Virtual Agents","Agent coaching, 24/7 customer support, Compliance monitoring, Conversational AI, Self-service automation","Reduced wait times, Consistent responses, Improved customer insights, Better agent performance, Scalability","Average Handle Time (AHT), Customer Effort Score, First Call Resolution (FCR), CSAT, Self-Service Containment Rate","Reduces compliance risk, Lower support costs, Enhances agent efficiency, Higher customer satisfaction, Improves customer satisfaction","Level 2 - AI-Assisted Human Agents, Level 5 - Fully Autonomous AI with Empathy"
"Speech and Text Analytics, Knowledge","Omnichannel accessibility, Agent coaching, Compliance monitoring, AI-powered recommendations, Transcription & sentiment analysis","Improved customer insights, Better agent performance, Consistent information, Faster resolution, Regulatory compliance","Average Handle Time (AHT), Self-Service Adoption Rate, Agent Productivity, First Contact Resolution (FCR), CSAT","Reduces compliance risk, Improves customer experience, Increases efficiency, Enhances agent efficiency, Improves customer satisfaction","Level 2 - AI-Assisted Human Agents, Level 3 - Hybrid AI & Human Collaboration"
"Speech and Text Analytics, Genesys Predictive Routing","AI-driven routing, Agent coaching, Predictive analytics, Compliance monitoring, Transcription & sentiment analysis","Higher resolution rates, Improved customer insights, Better agent performance, Better customer-agent fit, Optimized workforce","Average Handle Time (AHT), CSAT, First Call Resolution (FCR), Agent Performance, Customer Satisfaction (CSAT)","Reduces compliance risk, Improves efficiency, Optimizes agent skills, Enhances agent efficiency, Improves customer satisfaction","Level 4 - AI-Led Interactions with Human Oversight, Level 2 - AI-Assisted Human Agents"
"Speech and Text Analytics, Genesys Agent Copilot","Agent coaching, Suggested responses, Compliance monitoring, Transcription & sentiment analysis, Real-time AI assistance","Improved customer insights, Better agent performance, Faster resolution, Better customer interactions, Improved agent performance","Average Handle Time (AHT), Agent Productivity, CSAT, First Call Resolution (FCR), Customer Satisfaction (CSAT)","Reduces training costs, Speeds up onboarding, Reduces compliance risk, Enhances agent efficiency, Improves customer satisfaction","Level 2 - AI-Assisted Human Agents, Level 3 - Hybrid AI & Human Collaboration"
"Speech and Text Analytics, Topics","Agent coaching, Compliance monitoring, Trend identification, AI-powered topic analysis, Transcription & sentiment analysis","Better issue detection, Proactive customer service, Improved customer insights, Better agent performance, Regulatory compliance","Sentiment Score, Average Handle Time (AHT), CSAT, First Call Resolution (FCR), Customer Retention Rate","Optimizes engagement, Reduces compliance risk, Enhances agent efficiency, Improves customer satisfaction, Enhances proactive service",Level 2 - AI-Assisted Human Agents
"Speech and Text Analytics, Journey Management","Journey optimization, Agent coaching, Compliance monitoring, Cross-channel engagement, End-to-end customer tracking","Personalized experiences, Improved customer insights, Higher engagement, Better agent performance, Increased conversions","Conversion Rate, Average Handle Time (AHT), First Call Resolution (FCR), Net Promoter Score (NPS), CSAT","Reduces compliance risk, Increases revenue, Enhances agent efficiency, Improves customer satisfaction, Optimizes engagement strategies","Level 4 - AI-Led Interactions with Human Oversight, Level 2 - AI-Assisted Human Agents"
